Source,Station,Latitude,Longitude,Region,Year,Month,Date,Microcystis,Secchi,Temperature
FMWT,072,38.18775,-121.58057,Upper Sac,2007,9,2007-09-13,1,90,20.8
FMWT,072,38.18775,-121.58057,Upper Sac,2007,10,2007-10-16,1,200,16.2
FMWT,072,38.18775,-121.58057,Upper Sac,2007,11,2007-11-16,1,137,14.5
FMWT,072,38.18775,-121.58057,Upper Sac,2007,12,2007-12-17,1,74,8.2
FMWT,072,38.18775,-121.58057,Upper Sac,2008,9,2008-09-18,1,95,20
FMWT,072,38.18775,-121.58057,Upper Sac,2008,10,2008-10-17,1,200,15.8
FMWT,072,38.18775,-121.58057,Upper Sac,2008,11,2008-11-14,1,117,14.9
FMWT,072,38.18775,-121.58057,Upper Sac,2008,12,2008-12-17,1,NA,8.2
FMWT,072,38.18775,-121.58057,Upper Sac,2009,9,2009-09-22,1,200,22.1
FMWT,072,38.18775,-121.58057,Upper Sac,2009,10,2009-10-21,1,200,18.1
FMWT,072,38.18775,-121.58057,Upper Sac,2009,11,2009-11-17,1,200,13.2
FMWT,072,38.18775,-121.58057,Upper Sac,2009,12,2009-12-16,1,75,9.1
FMWT,072,38.18775,-121.58057,Upper Sac,2010,9,2010-09-23,1,138,18.9
FMWT,072,38.18775,-121.58057,Upper Sac,2010,10,2010-10-18,1,176,18
FMWT,072,38.18775,-121.58057,Upper Sac,2010,11,2010-11-08,1,138,15.5
FMWT,072,38.18775,-121.58057,Upper Sac,2010,12,2010-12-07,1,78,11.2
FMWT,073,38.27433,-121.53937,Upper Sac,2007,9,2007-09-13,1,100,20.3
FMWT,073,38.27433,-121.53937,Upper Sac,2007,10,2007-10-16,1,200,16.3
FMWT,073,38.27433,-121.53937,Upper Sac,2007,11,2007-11-16,1,170,14.7
FMWT,073,38.27433,-121.53937,Upper Sac,2007,12,2007-12-17,1,74,8.7
FMWT,073,38.27433,-121.53937,Upper Sac,2008,9,2008-09-18,1,123,20.9
FMWT,073,38.27433,-121.53937,Upper Sac,2008,10,2008-10-17,1,200,16.6
FMWT,073,38.27433,-121.53937,Upper Sac,2008,11,2008-11-14,1,142,15
FMWT,073,38.27433,-121.53937,Upper Sac,2008,12,2008-12-17,1,NA,8.1
FMWT,073,38.27433,-121.53937,Upper Sac,2009,9,2009-09-22,1,200,22.7
FMWT,073,38.27433,-121.53937,Upper Sac,2009,10,2009-10-21,1,200,17.9
FMWT,073,38.27433,-121.53937,Upper Sac,2009,11,2009-11-17,1,200,13.3
FMWT,073,38.27433,-121.53937,Upper Sac,2009,12,2009-12-16,1,80,9.9
FMWT,073,38.27433,-121.53937,Upper Sac,2010,9,2010-09-23,1,118,19
FMWT,073,38.27433,-121.53937,Upper Sac,2010,10,2010-10-18,1,158,17.9
FMWT,073,38.27433,-121.53937,Upper Sac,2010,11,2010-11-08,1,195,15.7
FMWT,073,38.27433,-121.53937,Upper Sac,2010,12,2010-12-07,1,63,11.5
FMWT,703,38.06087,-121.79692,Lower Sac,2008,9,2008-09-17,2,54,18.6
FMWT,703,38.06087,-121.79692,Lower Sac,2008,10,2008-10-16,2,68,16
FMWT,703,38.06087,-121.79692,Lower Sac,2008,11,2008-11-07,1,69,14.8
FMWT,703,38.06087,-121.79692,Lower Sac,2008,12,2008-12-16,1,NA,9.6
FMWT,703,38.06087,-121.79692,Lower Sac,2009,9,2009-09-16,1,45,20.5
FMWT,703,38.06087,-121.79692,Lower Sac,2009,10,2009-10-19,1,53,16.9
FMWT,703,38.06087,-121.79692,Lower Sac,2009,11,2009-11-10,1,40,15.2
FMWT,703,38.06087,-121.79692,Lower Sac,2009,12,2009-12-10,1,38,9.2
FMWT,703,38.06087,-121.79692,Lower Sac,2010,9,2010-09-20,1,69,19.2
FMWT,703,38.06087,-121.79692,Lower Sac,2010,10,2010-10-12,1,67,20
FMWT,703,38.06087,-121.79692,Lower Sac,2010,11,2010-11-09,1,62,15.4
FMWT,703,38.06087,-121.79692,Lower Sac,2010,12,2010-12-06,1,76,10.4
FMWT,707,38.11397,-121.70797,Lower Sac,2007,9,2007-09-13,1,65,20.4
FMWT,707,38.11397,-121.70797,Lower Sac,2007,10,2007-10-10,1,77,17.1
FMWT,707,38.11397,-121.70797,Lower Sac,2007,11,2007-11-15,1,55.00000000000001,15.5
FMWT,707,38.11397,-121.70797,Lower Sac,2007,12,2007-12-12,1,91,10.1
FMWT,707,38.11397,-121.70797,Lower Sac,2008,9,2008-09-17,2,38,19.6
FMWT,707,38.11397,-121.70797,Lower Sac,2008,10,2008-10-16,2,49,16.6
FMWT,707,38.11397,-121.70797,Lower Sac,2008,11,2008-11-07,1,79,15.3
FMWT,707,38.11397,-121.70797,Lower Sac,2008,12,2008-12-16,1,NA,9.5
FMWT,707,38.11397,-121.70797,Lower Sac,2009,9,2009-09-16,1,70,20.8
FMWT,707,38.11397,-121.70797,Lower Sac,2009,10,2009-10-19,1,61,17.2
FMWT,707,38.11397,-121.70797,Lower Sac,2009,11,2009-11-10,1,66,15
FMWT,707,38.11397,-121.70797,Lower Sac,2009,12,2009-12-10,1,34,8.9
FMWT,707,38.11397,-121.70797,Lower Sac,2010,9,2010-09-20,1,85,19.8
FMWT,707,38.11397,-121.70797,Lower Sac,2010,10,2010-10-12,1,77,19.5
FMWT,707,38.11397,-121.70797,Lower Sac,2010,11,2010-11-09,2,95,15.1
FMWT,707,38.11397,-121.70797,Lower Sac,2010,12,2010-12-06,1,111.00000000000001,10.4
FMWT,701,38.06505,-121.83475,Lower Sac,2007,9,2007-09-18,1,48,20.4
FMWT,701,38.06505,-121.83475,Lower Sac,2007,11,2007-11-15,1,67,15.3
FMWT,701,38.06505,-121.83475,Lower Sac,2007,12,2007-12-12,1,45,9.4
FMWT,701,38.06505,-121.83475,Lower Sac,2008,9,2008-09-17,2,53,18.2
FMWT,701,38.06505,-121.83475,Lower Sac,2008,10,2008-10-16,3,72,16.4
FMWT,701,38.06505,-121.83475,Lower Sac,2008,11,2008-11-14,1,61,15.2
FMWT,701,38.06505,-121.83475,Lower Sac,2008,12,2008-12-16,1,NA,9.3
FMWT,701,38.06505,-121.83475,Lower Sac,2009,9,2009-09-16,1,50,20
FMWT,701,38.06505,-121.83475,Lower Sac,2009,10,2009-10-19,1,56.99999999999999,16.9
FMWT,701,38.06505,-121.83475,Lower Sac,2009,11,2009-11-10,2,70,14.8
FMWT,701,38.06505,-121.83475,Lower Sac,2009,12,2009-12-10,1,54,9.1
FMWT,701,38.06505,-121.83475,Lower Sac,2010,9,2010-09-20,1,67,19.4
